Title,Date,view_count,like_count,comment_count,url
كارلو انشيلوتي يؤكد جاهزية الفريق الملك لملاقاة ريال سوسيداد اليوم في اياب كاس ملك اسبانيا #sniper,2025-04-01,430,3,0,https://youtu.be/B-pCrhbNN8Y
موعد مباراة الأهلي والهلال ربع نهائي كأس الدوري الافريقي,2025-04-01,339,6,2,https://youtu.be/0RUZzw0lVb0
أبرز مباريات اليوم #كأس_ملك_اسبانيا #الدوري_الانجليزي #الدوري_الفرنسي #دوري_ابطال_افريقيا,2025-04-01,325,2,0,https://youtu.be/1NX_-JTa7FY
اهم مباريات اليوم الثلاثاء 1-4-2025 🔥والقنوات الناقلة 🔥والمعلقين 🔥,2025-04-01,283,2,0,https://youtu.be/HYznEdrJNQY
‏للتاااااااااااااريخ .. مهند يسجل .. مهند يفعلها 🔝السعودي مهند ال سعد يسجل في مرمى باريس 🇸🇦🤍,2025-04-01,271,0,0,https://youtu.be/1-yVg7VYrA0
برشلونة يكتسح وريال مدريد يعاني.. هل حُسمت الليجا؟   #الكورة_X_إسبوع,2025-04-01,178,5,6,https://youtu.be/COMFI4gV9NY
شاهد هدف محمد عبدالمنعم الاغلي مع النادي الاهلي,2025-04-01,162,1,0,https://youtu.be/nsJu6EbjG3g
جدول مباريات اليوم الأربعاء 2 4 2025,2025-04-01,91,3,0,https://youtu.be/WGI8pHOisWI
هدف الاهلى المصرى  الاول امام الهلال السودانى #دوري_ابطال_افريقيا,2025-04-01,80,2,0,https://youtu.be/6v_OXJmT3gU
الدوري الإسباني نتائج مباريات الجولة ال 29,2025-04-01,53,4,4,https://youtu.be/YV9H2CzJVgY
ملخص مباراة ريال مدريد وريال سوسيداد 4-4 -اليوم,2025-04-01,49,1,1,https://youtu.be/gC-e4XRK3xY
✅⚽أبرز مباريات اليوم في دوري عصبة الأبطال إفريقيا 01/0412025,2025-04-01,46,3,0,https://youtu.be/7CChbM_sE0Q
هدف الاتحاد الاول على الشباب |هدف الاتحاد على الشباب | هدف الاتحاد اليوم |ملخص الاتحاد والشباب اليوم,2025-04-01,30,6,0,https://youtu.be/SBiKRgX-3c4
أهداف مباراة الاهلي والهلال السوداني #الاهلي #دوري_ابطال_افريقيا #امام_عاشور #بن_شرقي #shorts #reels,2025-04-01,29,0,0,https://youtu.be/5fkP6bem9fM
ملخص مباراة مانشيستر سيتي و ليون الفرنسي 2-0 دوري ابطال اوروبا .. مباراة الاياب,2025-04-01,28,6,2,https://youtu.be/wsqmWrVUVa0
ملخص أهداف الجيش الملكي و بيراميدز 4-1 دوري أبطال أفريقيا .هزيمة قاسية للجيش  الملكي,2025-04-01,25,2,0,https://youtu.be/uNosoM2UXws
الاهلي المصري يواجه فريق الهلال السوداني دوري أبطال افريقيا أهداف محمد عبد الرحمن الهلال السوداني,2025-04-01,22,1,0,https://youtu.be/NZMTgUQSVt4
هـدف اندريك الاسطوري باسيست عالمي من فنيسيوس😎🤍,2025-04-01,22,0,0,https://youtu.be/c8iFTVaUB8M
محمد صلاح vs رياض محرز | مقارنة بين صلاح ومحرز | إنجازات محمد صلاح ورياض محرز,2025-04-01,20,0,0,https://youtu.be/KLTSl_yokxY
بث مباشر لمباراة الأهلي المصري والهلال السوداني في دوري أبطال أفريقيا,2025-04-01,19,0,1,https://youtu.be/erbEBMAD9P4
هدف الاهلي الاول امام الهلال السوداني,2025-04-01,17,1,0,https://youtu.be/rZxXNVgZNSw
هدف بيراميدز الاول امام الجيش الملكي#دوري_ابطال_افريقيا,2025-04-01,17,0,0,https://youtu.be/YHI8GSBSeTE
ملخص مباراة التي ٢/١,2025-04-01,11,5,0,https://youtu.be/6cvFgTzPN0g
#ملخص مباراة مانشستر سيتي و بورنموث #كاس الاتحاد الإنكليزي #حفيظ_دراجى,2025-04-01,9,0,0,https://youtu.be/EHb6QA6IxOo
هدف محمد هاني اليوم الأول في الهلال السوداني  هدف صاروخي,2025-04-01,4,1,0,https://youtu.be/e-R9plDipSw
ملخص مباراة ريال مدريد و ريال سوسيداد كأس الملك الاسباني,2025-04-01,2,1,0,https://youtu.be/qDeULkwlkzg
ملخص مباراة أتلتيكو مدريد 0 - 1 برشلونة | إياب نصف نهائي كأس ملك إسبانيا,2025-04-02,2797766,51472,1704,https://youtu.be/c_utTlpj2oo
ملخص مباراة مانشستر سيتي وليستر سيتي (2-0) | الدوري الإنجليزي الممتاز - الجولة 30,2025-04-02,779884,20234,512,https://youtu.be/diAXBTgI6CU
ملخص مباراة ليفربول وإيفرتون (1-0) | الدوري الإنجليزي الممتاز - الجولة 30,2025-04-02,551068,14689,403,https://youtu.be/2YKNb9AFUyc
صاحب ثاني أعلى راتب في ريال مدريد لم يسجل إلا هدفين طوال الموسم الحالي وكانوا في مرماه بنصف نهائي,2025-04-02,463375,5832,169,https://youtu.be/AQK2ow2XnvY
ترتيب 11 فريقا اكثر الأندية تتويجا بكاس ملك اسبانيا #Réal #Madrid #Barcelona #souufian,2025-04-02,279065,624,0,https://youtu.be/9BFQ9prgh20
"فضيحة جديدة منتظرة للاطاحة بالاهلي 🤚🤬 كاف يعلن حكم  "" مباراة الاهلي والهلال السوداني ""| كابتن دوله",2025-04-02,266410,3797,129,https://youtu.be/VNhyFpwQzz8
